time,center_bubbles_px,nivel_x,nivel_y,nivel_t,temperature,watch_indicator
07:19.2,None,NaN,NaN,NaN,24.625,None
07:19.9,None,NaN,NaN,NaN,24.625,None
07:20.6,None,NaN,NaN,NaN,24.625,None
07:21.4,None,NaN,NaN,NaN,24.625,None
07:22.1,None,NaN,NaN,NaN,24.625,None
07:22.8,None,NaN,NaN,NaN,24.625,None
07:23.5,None,NaN,NaN,NaN,24.625,None
07:24.2,None,NaN,NaN,NaN,24.625,None
07:24.9,None,NaN,NaN,NaN,24.625,None
07:25.7,None,NaN,NaN,NaN,24.625,None
07:26.4,None,NaN,NaN,NaN,24.6875,None
07:27.1,None,NaN,NaN,NaN,24.625,None
07:27.8,None,NaN,NaN,NaN,24.625,None
07:28.6,None,NaN,NaN,NaN,24.6875,None
07:29.3,None,NaN,NaN,NaN,24.625,None
07:30.0,None,NaN,NaN,NaN,24.6875,None
07:30.8,None,NaN,NaN,NaN,24.625,None
07:31.5,None,NaN,NaN,NaN,24.6875,None
07:32.2,None,NaN,NaN,NaN,24.625,None
07:32.9,None,NaN,NaN,NaN,24.6875,None
07:33.7,None,NaN,NaN,NaN,24.625,None
07:34.4,None,NaN,NaN,NaN,24.625,None
07:35.1,None,NaN,NaN,NaN,24.625,None
07:35.8,None,NaN,NaN,NaN,24.625,None
07:36.6,None,NaN,NaN,NaN,24.6875,None
07:37.3,None,NaN,NaN,NaN,24.625,None
07:38.0,None,NaN,NaN,NaN,24.6875,None
07:38.7,None,NaN,NaN,NaN,24.6875,None
07:39.5,None,NaN,NaN,NaN,24.625,None
07:40.2,None,NaN,NaN,NaN,24.625,None
07:40.9,None,NaN,NaN,NaN,24.625,None
07:41.6,None,NaN,NaN,NaN,24.6875,None
07:42.4,None,NaN,NaN,NaN,24.625,None
07:43.1,None,NaN,NaN,NaN,24.6875,None
07:43.8,None,NaN,NaN,NaN,24.6875,None
07:44.6,None,NaN,NaN,NaN,24.625,None
